date,nav,cash,n_positions,csi300_nav
2016-06-27,1283715.19752934,406036.96876957436,7,
2016-06-28,1286246.0931940319,149459.64695646783,9,
2016-06-29,1280961.9221150877,21591.74186587354,10,
2016-06-30,1279516.694592357,279130.66229712986,8,
2016-07-01,1282760.2143229963,378550.8440436843,7,
2016-07-04,1308684.920021272,247772.00264570743,8,
2016-07-05,1319260.0261890653,247772.00264570743,8,
2016-07-06,1323820.6092560056,247772.00264570743,8,
2016-07-07,1331194.6560346845,247772.00264570743,8,
2016-07-08,1345475.7945024732,247772.00264570743,8,
2016-07-11,1346879.3151396038,113101.42955954102,9,
2016-07-12,1392488.8459686998,130.86557433633425,10,
2016-07-13,1386003.0616764787,130.86557433633425,10,
2016-07-14,1385855.5913290742,15.696557498216862,10,
2016-07-15,1386791.9163490895,270903.30455557135,8,
2016-07-18,1392210.031675792,281473.2574696305,8,
2016-07-19,1384595.3444290878,411422.37918860937,7,
2016-07-20,1382015.983825636,973799.270873976,3,
2016-07-21,1381285.3830748084,1116555.6708746436,2,
2016-07-22,1384210.0093298438,1116555.6708746436,2,
2016-07-25,1386293.740204859,839491.5310183051,4,
2016-07-26,1393740.4752634647,144131.44756780888,9,
2016-07-27,1382241.9753624203,6047.974307656521,10,
2016-07-28,1408294.7972367527,141704.96023399854,9,
2016-07-29,1411479.6986554386,5813.371202779061,10,
2016-08-01,1395991.2398789646,5813.371202779061,10,
2016-08-02,1402659.7725467207,416300.75171752,7,
2016-08-03,1424358.1188164712,131840.10634050387,9,
2016-08-04,1426654.0944823625,92.75276750345074,10,
2016-08-05,1429462.6734742525,92.75276750345074,10,
2016-08-08,1454844.4161662462,92.75276750345074,10,
2016-08-09,1468090.883637369,92.75276750345074,10,
2016-08-10,1471230.3393262746,127595.58690966388,9,
2016-08-11,1465702.5451797368,127595.58690966388,9,
2016-08-12,1477949.5095786932,251001.99747656603,8,
2016-08-15,1494841.1621189,140.78799246568815,10,
2016-08-16,1492308.7609552266,43403.13208330888,10,
2016-08-17,1502200.952913654,43403.13208330888,10,
2016-08-18,1494501.001887882,327884.47492655535,8,
2016-08-19,1494045.646386707,327884.47492655535,8,
2016-08-22,1487856.265210736,1081207.7110763672,3,
2016-08-23,1487575.0161644104,1081207.7110763672,3,
2016-08-24,1493549.7368587614,932618.5680164458,4,
2016-08-25,1486342.4653849723,590936.6801104667,6,
2016-08-26,1494618.001546693,137989.62894899864,9,
2016-08-29,1488221.7381067516,171.53120710869553,10,
2016-08-30,1478613.69037478,7380.184195923997,10,
2016-08-31,1480809.8609976412,448581.1651281955,7,
2016-09-01,1481567.0541515471,582095.1177349212,6,
2016-09-02,1485061.5910609367,577347.6886828544,6,
2016-09-05,1489951.9047946336,131867.3645467164,9,
2016-09-06,1516306.514153135,1574.2005916954804,10,
2016-09-07,1523040.7117458703,1574.2005916954804,10,
2016-09-08,1529166.1150308968,1574.2005916954804,10,
2016-09-09,1518590.6535760644,148598.97476594464,9,
2016-09-12,1493554.8296449662,1013647.8868005753,3,
2016-09-13,1485776.2154720307,1332002.1213672638,1,
2016-09-14,1485824.7726877213,1485824.7726877213,0,
2016-09-19,1485602.791724968,1337615.4832227707,1,
2016-09-20,1483778.715233183,598512.8133815288,6,
2016-09-21,1485493.4853431939,5580.350625252613,10,
2016-09-22,1495494.4703218697,5580.350625252613,10,
2016-09-23,1499277.6759502648,5580.350625252613,10,
2016-09-26,1468720.8294211389,436411.41493902204,7,
2016-09-27,1470580.9507808685,1173870.652814865,2,
2016-09-28,1468403.8824056627,1468403.8824056627,0,
2016-09-29,1467528.490995169,883934.2173326018,4,
2016-09-30,1470254.6204401017,297463.7556863787,8,
2016-10-10,1494302.3966930152,75.65123059772304,10,
2016-10-11,1501457.0492885353,75.65123059772304,10,
2016-10-12,1506075.5555770637,75.65123059772304,10,
2016-10-13,1503660.4694507362,75.65123059772304,10,
2016-10-14,1509519.2317481758,296598.1604095223,8,
2016-10-17,1503056.1943553211,735346.9993613485,5,
2016-10-18,1521507.125444794,128910.55471458464,9,
2016-10-19,1523705.1767250064,287122.13696441683,8,
2016-10-20,1535653.2941146854,133565.9796520236,9,
2016-10-21,1539717.054650927,129801.23367085488,9,
2016-10-24,1554071.844621325,349.0301567557617,10,
2016-10-25,1561013.7235949042,149026.8316099647,9,
2016-10-26,1575905.3571531775,149026.8316099647,9,
2016-10-27,1568737.4536217216,467101.759356356,7,
2016-10-28,1557519.0633169177,774673.3864179614,5,
2016-10-31,1565477.0016542438,774673.3864179614,5,
2016-11-01,1584582.8839197163,933893.3102979664,4,
2016-11-02,1575244.0580177787,779403.8343716147,5,
2016-11-03,1578677.3137439732,952998.574291611,4,
2016-11-04,1580420.8775867466,952998.574291611,4,
2016-11-07,1581186.5286914113,636865.6719771626,6,
2016-11-08,1583518.8373878004,469700.7059886457,7,
2016-11-09,1576283.5267708304,625695.978681803,6,
2016-11-10,1598992.5364898685,301405.74249496486,8,
2016-11-11,1610359.4442853453,141055.77716918016,9,
2016-11-14,1632746.2746655943,2132.80499339127,10,
2016-11-15,1632684.1086900237,2132.80499339127,10,
2016-11-16,1622605.6678668503,164915.5281201842,9,
2016-11-17,1623467.432321692,164915.5281201842,9,
2016-11-18,1610215.4275962356,816274.656707907,5,
2016-11-21,1615278.9354873183,954822.3845792296,4,
2016-11-22,1613510.9054406646,955220.967658377,4,
2016-11-23,1618446.086408854,794812.8907940391,5,
2016-11-24,1620098.483967543,633354.8694846634,6,
2016-11-25,1630755.2277360442,307580.3788218978,8,
2016-11-28,1632761.109859753,1175.4458735468506,10,
2016-11-29,1642153.6205599788,1175.4458735468506,10,
2016-11-30,1633432.0504790787,158470.6369048598,9,
2016-12-01,1633302.6135118965,137662.65355668095,9,
2016-12-02,1624428.3477295402,618369.112871981,6,
2016-12-05,1615919.0634711746,1125109.7542747024,3,
2016-12-06,1623565.2666423323,963154.6028468611,4,
2016-12-07,1626741.1181411268,802088.8199767591,5,
2016-12-08,1616226.3399484695,319224.2669823708,8,
2016-12-09,1615076.6400181833,315252.4544679703,8,
2016-12-12,1570446.1442158343,1108734.3260929706,3,
2016-12-13,1567048.6958303335,1250765.5706682089,2,
2016-12-14,1571222.8518365743,1407295.0210927846,1,
2016-12-15,1579229.1111522557,1249766.2187152745,2,
2016-12-16,1588072.5952201725,1249766.2187152745,2,
2016-12-19,1596122.2151069166,453590.24353308685,7,
2016-12-20,1610619.6042431833,133243.45897569662,9,
2016-12-21,1630826.6408179284,96.83701734547503,10,
2016-12-22,1642222.0910046578,96.83701734547503,10,
2016-12-23,1643995.4227183342,96.83701734547503,10,
2016-12-26,1663524.8214074136,151669.10761079798,9,
2016-12-27,1668720.2085507156,300239.65129973897,8,
2016-12-28,1677360.748042178,125244.63969619278,9,
2016-12-29,1690613.3336943388,279208.8308972121,8,
2016-12-30,1708878.705336213,100602.06682837015,9,
2017-01-03,1726627.6150268794,87.41298143867607,10,
2017-01-04,1749951.2751144648,87.41298143867607,10,
2017-01-05,1747507.127483058,757.530124354409,10,
2017-01-06,1740774.6790283918,162504.1841858626,9,
2017-01-09,1744690.436100936,335213.85681626806,8,
2017-01-10,1745698.6518349887,826264.7065606357,6,
2017-01-11,1741919.5393525362,1000096.2738000156,5,
2017-01-12,1736389.5856578113,1496954.1265208484,2,
2017-01-13,1737827.6088435412,1496954.1265208484,2,
2017-01-16,1741592.2051150561,1496954.1265208484,2,
2017-01-17,1742593.8823420764,1496954.1265208484,2,
2017-01-18,1745091.8724734546,1496954.1265208484,2,
2017-01-19,1741783.0888468982,1496954.1265208484,2,
2017-01-20,1741485.1214321377,1498339.7915752651,2,
2017-01-23,1743094.7984208348,803342.0094956639,6,
2017-01-24,1743514.2096986058,803342.0094956639,6,
2017-01-25,1743809.7708215,803342.0094956639,6,
2017-01-26,1746801.012050748,873460.1880189183,5,
2017-02-03,1750708.9095231297,873460.1880189183,5,
2017-02-06,1764983.158621097,871399.3391363862,5,
2017-02-07,1766503.9956593278,1041875.2826237443,4,
2017-02-08,1771971.6504597429,1041875.2826237443,4,
2017-02-09,1771733.5479787593,864769.9733785394,5,
2017-02-10,1781756.4122251277,864769.9733785394,5,
2017-02-13,1788977.8494958642,1226948.1548433069,3,
2017-02-14,1790864.7738919978,1403285.3383527522,2,
2017-02-15,1788031.0358510737,1403285.3383527522,2,
2017-02-16,1790119.6073995356,1403285.3383527522,2,
2017-02-17,1789049.910305572,1403285.3383527522,2,
2017-02-20,1795715.848493648,1584769.294309688,1,
2017-02-21,1794404.3557339434,1406373.966425014,2,
2017-02-22,1803755.7837658648,1406373.966425014,2,
2017-02-23,1800632.9896145586,1406373.966425014,2,
