date,nav,cash,n_positions,kospi_nav,kospi200_nav
2017-06-29,132654992.51659814,0.0,10,113666060.93099831,114536992.92755324
2017-06-30,134536618.0816731,0.0,10,113482442.36417207,114243834.51207447
2017-07-03,132320412.34279174,0.0,10,113610073.87444663,114474696.76426399
2017-07-04,130457082.94514428,41170349.90508245,7,112947718.52744552,113767452.08692147
2017-07-05,132369384.58702016,41170349.90508245,7,113319225.86032653,114247498.99226794
2017-07-06,132689187.77493536,27899443.47310584,8,113293604.66495542,114287808.27439629
2017-07-07,132174661.64049229,1456590.1704783868,10,112916878.199684,113840741.69079117
2017-07-10,131490195.09956267,1336581.121289244,10,113022684.24723503,114133900.10626991
2017-07-11,131855816.23930691,1336581.121289244,10,113682192.7947505,114914434.38748212
2017-07-12,133001633.21039458,14434782.374486854,9,113481493.43101017,114910769.90728866
2017-07-13,134161601.02981234,26758754.439773947,8,114322248.21244714,115925830.9208839
2017-07-14,133793763.72092822,25819029.295722343,8,114566124.0350536,116292278.94023235
2017-07-17,135501880.4137597,0.0,10,115062890.54530443,116721023.12287003
2017-07-18,135075693.21450076,0.0,10,115107490.4039134,116768661.36538531
2017-07-19,134987416.00409827,0.0,10,115292532.37048249,116863937.85041593
2017-07-20,136095777.842428,0.0,10,115857147.60180867,117486899.4833083
2017-07-21,136104241.34954655,0.0,10,116247159.13134658,117919308.14613949
2017-07-24,137754187.65102208,36206774.83196832,7,116316905.71874571,117999926.71039614
2017-07-25,137979548.26165536,36206774.83196832,7,115765101.08510508,117318333.394408
2017-07-26,137757424.29045632,49066788.87434342,6,115509363.59797499,117065484.26105756
2017-07-27,138292722.60227352,35235445.019929186,7,115923572.92314115,117450254.68137345
2017-07-28,136162733.77072603,63281839.64415091,5,113918951.61864272,115112316.31793031
2017-07-31,136789502.4344684,63281839.64415091,5,114000559.87056552,115284546.8870241
2017-08-01,138569147.13431942,49422849.195754156,6,114961354.69698192,116178680.05423433
2017-08-02,138292785.52901083,49422849.195754156,6,115182930.59028389,116416871.26681082
2017-08-03,137281932.66071618,63649215.9628254,5,113248055.87318456,114438051.96232915
2017-08-04,139280638.73277715,77013074.3647522,4,113656097.13279843,114866796.14496684
2017-08-07,138119621.2582349,77013074.3647522,4,113812671.10451074,115050020.15464105
2017-08-08,138943469.26738396,63116646.0957868,5,113621935.5389703,114844809.26380594
2017-08-09,137263287.54609722,95052189.06033337,3,112372190.56475756,113422990.94873391
2017-08-10,137469029.05695015,95052189.06033337,3,111948966.37455338,113001575.72648321
2017-08-11,136567856.41946408,94825453.21883163,3,110062487.24871063,110931144.41716444
2017-08-14,136714103.57922053,94825453.21883163,3,110750938.2576638,111740994.53992452
2017-08-16,136874612.3912971,81135941.62849018,4,111417089.33731253,112558173.6230716
2017-08-17,137094313.41299376,67424456.64490668,5,112053349.02236162,113239766.93905969
2017-08-18,136985904.4406046,53723814.18250438,6,111896775.0506493,113008904.68687017
2017-08-21,137784191.28586084,25548604.096033,8,111736879.81287037,112917292.68203306
2017-08-22,138367400.01611972,11709791.381583117,9,112227003.79098798,113357030.3052512
