signal_date,entry_date,exit_date,ticker,entry_price,exit_price,return,stage1_prob,stage2_prob,exit_reason
2017-06-13,2017-06-13,2017-06-23,011790,33850.700000000004,33100.0,-0.02364352878965592,0.6538505998663537,0.7684824902723736,trend_exit
2017-06-08,2017-06-08,2017-06-26,028300,5179.758000000001,5610.0,0.08143758839698667,0.8120532438682351,1.0,trend_exit
2017-06-08,2017-06-08,2017-06-26,001720,53079.5,54300.0,0.02145932045328247,0.6194137008829877,0.6131221719457014,trend_exit
2017-06-23,2017-06-23,2017-06-30,088980,8717.056,8585.0,-0.0166264275461806,0.6475848754559411,0.5581395348837209,trend_exit
2017-05-31,2017-05-31,2017-07-03,068270,75240.69200000001,90767.0,0.20454566659222118,0.8133955045213217,0.8438356164383561,trend_exit
2017-06-14,2017-06-14,2017-07-03,009150,85227.65000000001,97500.0,0.14227894351187653,0.7437200552462285,1.0,trend_exit
2017-06-08,2017-06-08,2017-07-04,020150,22543.765000000003,29723.0,0.3164799890346621,0.7741458761272697,0.9375,trend_exit
2017-06-08,2017-06-08,2017-07-04,066970,18570.8145,19748.0,0.061793924009095,0.7571721506374716,0.8823529411764706,trend_exit
2017-06-26,2017-06-26,2017-07-04,081660,16484.690000000002,15760.0,-0.0453954548129204,0.6607690902874913,0.8327974276527331,trend_exit
2017-06-26,2017-06-26,2017-07-04,192820,114369.297,111257.0,-0.02867187773305968,0.6074171021749244,0.8074866310160428,trend_exit
2017-07-03,2017-07-03,2017-07-10,028050,12018.0,11850.0,-0.015458062905641556,0.6791196882809662,0.8438356164383561,trend_exit
2017-06-08,2017-06-08,2017-07-12,058470,8803.185000000001,9511.0,0.07878381517598454,0.6930163312180481,0.7588961510530138,trend_exit
2017-06-21,2017-06-21,2017-07-12,006400,154919.03050000002,168883.0,0.08850200621414284,0.6367962651454664,0.8327974276527331,trend_exit
2017-06-30,2017-06-30,2017-07-12,035720,20402.558,19770.0,-0.032457351671295376,0.6799559357958191,0.8438356164383561,trend_exit
2017-07-06,2017-07-06,2017-07-13,130960,77415.95000000001,72000.0,-0.07135415892978136,0.6141250956458436,0.7482376636455186,trend_exit
2017-07-04,2017-07-04,2017-07-14,069620,85027.35,81200.0,-0.04644564366642023,0.7457201521105072,0.8438356164383561,trend_exit
2017-07-07,2017-07-07,2017-07-21,014680,72408.45,72300.0,-0.0029955067398901303,0.9207572593308531,0.6932907348242812,trend_exit
2017-07-03,2017-07-03,2017-07-24,011790,33650.4,36950.0,0.09640821505836494,0.638859373218739,0.7846153846153846,trend_exit
2017-07-07,2017-07-07,2017-07-24,111770,34000.925,33400.0,-0.019147273199185078,0.7152208181814306,0.5435684647302904,trend_exit
2017-07-17,2017-07-17,2017-07-24,000270,37656.4,36500.0,-0.03216319138313806,0.7168185499830597,0.4890798424633012,trend_exit
2017-07-12,2017-07-12,2017-07-26,000660,69003.35,66800.0,-0.033383161831998076,0.835951707145155,0.6932907348242812,trend_exit
2017-06-23,2017-06-23,2017-07-28,051910,283925.25,323000.0,0.1359169358836525,0.6420130637256349,0.8327974276527331,trend_exit
2017-07-14,2017-07-14,2017-07-28,042700,4261.382500000001,4225.0,-0.010024915623040198,0.6895611862953146,0.4890798424633012,trend_exit
2017-07-12,2017-07-12,2017-08-03,214370,10383.552,11120.0,0.06931809076508699,0.872401999097584,0.4890798424633012,trend_exit
2017-07-17,2017-07-17,2017-08-04,034230,13570.325,13400.0,-0.014032456849780606,0.7322144171905681,0.5435684647302904,trend_exit
2017-07-10,2017-07-10,2017-08-09,003670,14304.424500000001,19787.0,0.3812033822122658,0.7234125259636015,0.5435684647302904,trend_exit
2017-07-27,2017-07-27,2017-08-09,014680,74411.45,74200.0,-0.004337370122474482,0.8444881074880104,0.8,trend_exit
2017-07-21,2017-07-21,2017-08-11,028300,5360.028,5470.0,0.018986281414947737,0.9563018537716952,0.6932907348242812,trend_exit
2017-08-11,2017-08-11,2017-08-21,064350,18627.9,18000.0,-0.03515694200634545,0.6772938991821156,0.4890798424633012,trend_exit
2017-08-21,2017-08-21,2017-08-28,005380,148222.0,144500.0,-0.026573315702122513,0.6230155461962381,0.45263157894736844,trend_exit
2017-08-01,2017-08-01,2017-08-29,066570,68402.45,74400.0,0.08604881842682555,0.7301409811754148,0.4890798424633012,trend_exit
2017-08-22,2017-08-22,2017-08-29,042700,3820.7225000000003,3675.0,-0.0395828275934722,0.6421763081072875,0.6187624750499003,trend_exit
2017-08-18,2017-08-18,2017-08-30,005930,46970.350000000006,46200.0,-0.017876170818399317,0.7017168881553433,0.4539162112932605,trend_exit
2017-08-21,2017-08-21,2017-08-30,053800,53279.8,52000.0,-0.02548432989613325,0.6050468740600112,0.4574468085106383,trend_exit
2017-08-16,2017-08-16,2017-09-04,000660,66199.15000000001,68100.0,0.027171043736966327,0.7405794514835335,0.6326530612244898,trend_exit
2017-08-23,2017-08-23,2017-09-04,000270,35252.8,34900.0,-0.011492704125629749,0.6532480318468715,0.4574468085106383,trend_exit
2017-08-28,2017-08-28,2017-09-04,025980,5878.805,5560.0,-0.05564821422040711,0.6374622622760245,0.4574468085106383,trend_exit
2017-08-17,2017-08-17,2017-09-05,009420,11967.925000000001,11850.0,-0.011338640574702907,0.9522483321417391,0.7140515117919386,trend_exit
2017-08-08,2017-08-08,2017-09-11,011200,7324.9710000000005,7965.0,0.08574525414503342,0.6831014200948852,0.4539162112932605,trend_exit
2017-09-07,2017-09-07,2017-09-14,003410,2896.338,2870.0,-0.010579911598715408,0.7112041763871544,0.5073260073260072,trend_exit
2017-09-08,2017-09-08,2017-09-22,185750,73706.394,72567.0,-0.01693536248700489,0.6058408955403083,0.5273069679849339,trend_exit
2017-09-12,2017-09-12,2017-09-22,009420,13019.5,12300.0,-0.056680364069280564,0.684476375440823,0.8192771084337349,trend_exit
2017-08-21,2017-08-21,2017-09-25,130960,70906.2,77900.0,0.09698658227348256,0.606640457538657,0.5073260073260072,trend_exit
2017-09-15,2017-09-15,2017-09-25,068760,14643.933,14058.0,-0.041451978781929744,0.7167301193458775,0.6363636363636365,trend_exit
