signal_date,entry_date,exit_date,ticker,entry_price,exit_price,return,stage1_prob,stage2_prob,exit_reason
2019-01-31,2019-01-31,2019-02-06,4536.T,1321.3735202636717,1282.9541015625,-0.030046290616457916,0.6849288617205351,0.4622641509433963,trend_exit
2019-01-30,2019-01-30,2019-02-07,8750.T,337.77389886474606,325.1625671386719,-0.03829927160355562,0.7310014962429777,0.4622641509433963,trend_exit
2019-01-31,2019-01-31,2019-02-07,7649.T,1380.7109967041015,1354.9996337890625,-0.019603206328795975,0.8160062399063761,0.5179856115107914,trend_exit
2019-01-31,2019-01-31,2019-02-07,1662.T,310.8489295043945,300.4725341796875,-0.03434744934109779,0.7760843271480778,0.4665071770334928,trend_exit
2019-02-03,2019-02-03,2019-02-07,6406.T,988.5126716308592,965.287109375,-0.024471966884677343,0.7029336960972349,0.48936170212765956,trend_exit
2019-02-03,2019-02-03,2019-02-07,7180.T,368.739770324707,359.2038269042969,-0.026835042063949155,0.6989147271986056,0.48936170212765956,trend_exit
2019-02-04,2019-02-04,2019-02-07,4613.T,1712.7628095703124,1621.4632568359375,-0.054252121468309045,0.6877211115387258,0.4665071770334928,trend_exit
2019-01-31,2019-01-31,2019-02-11,8410.T,250.44191841125485,256.25701904296875,0.022196138920892228,0.724979708514615,0.4622641509433963,trend_exit
2019-02-12,2019-02-12,2019-02-17,4755.T,800.4994067382812,785.9287109375,-0.019183804987802366,0.7152722732763328,0.48936170212765956,trend_exit
2019-02-12,2019-02-12,2019-02-17,8750.T,338.73372003173824,328.5187072753906,-0.03112631202655325,0.7058774802812988,0.4622641509433963,trend_exit
2019-02-17,2019-02-17,2019-02-21,9507.T,1199.1621976318359,1176.4832763671875,-0.019893392727127646,0.6853203605089554,0.7,trend_exit
2019-02-12,2019-02-12,2019-02-24,8306.T,441.406938873291,440.7391357421875,-0.0025113838710267844,0.727793637399569,0.4665071770334928,trend_exit
2019-02-12,2019-02-12,2019-02-25,9433.T,1055.7379107666015,1059.996337890625,0.00302956894274109,0.8208864757745391,0.48936170212765956,trend_exit
2019-02-13,2019-02-13,2019-02-25,2702.T,4597.2005180664055,4744.5869140625,0.031027972028078388,0.7169875277779323,0.48936170212765956,trend_exit
2019-01-31,2019-01-31,2019-02-26,6368.T,568.2607472534179,683.05322265625,0.2008046882205088,0.7131648558624909,0.4622641509433963,trend_exit
2019-02-12,2019-02-12,2019-02-26,4613.T,1693.2288908691405,1861.8441162109375,0.09848248049913133,0.734741599643803,0.48936170212765956,trend_exit
2019-02-24,2019-02-24,2019-02-27,8060.T,1737.6190618896483,1722.7200927734375,-0.009565784338776862,0.6524029701344396,0.7291666666666666,trend_exit
2019-02-13,2019-02-13,2019-03-03,1911.T,368.7172563781738,379.0294494628906,0.026939785061391497,0.7362383157456618,0.48936170212765956,trend_exit
2019-02-13,2019-02-13,2019-03-04,7649.T,1409.6345446777343,1458.4227294921875,0.03357590963108903,0.7893669653803863,0.48936170212765956,trend_exit
2019-02-25,2019-02-25,2019-03-04,7581.T,1977.8798345947264,1959.6531982421875,-0.010206024247634504,0.6844436749884096,0.7622950819672131,trend_exit
2019-03-03,2019-03-03,2019-03-06,2296.T,2657.8759238281245,2561.781982421875,-0.037118257667415167,0.7062283388674838,0.7,trend_exit
2019-03-03,2019-03-03,2019-03-06,8304.T,2317.9230292968746,2290.59228515625,-0.012779258004424032,0.6974203896122587,0.7,trend_exit
2019-02-03,2019-02-03,2019-03-07,5393.T,1580.9509536132812,1748.7626953125,0.105039930950652,0.7120347682545407,0.4665071770334928,trend_exit
2019-02-17,2019-02-17,2019-03-07,4578.T,3856.432169433593,3989.4599609375,0.03346054743701665,0.7347218242806779,0.7622950819672131,trend_exit
2019-02-28,2019-02-28,2019-03-07,9301.T,474.82701379394524,468.8251953125,-0.013627370576615339,0.7396335994454788,0.6709886547811994,trend_exit
2019-03-04,2019-03-04,2019-03-07,5938.T,1132.2591798095702,1086.2716064453125,-0.041575149762636654,0.7326598194754165,0.7904761904761904,trend_exit
2019-03-04,2019-03-04,2019-03-07,8306.T,442.3158669128417,423.33642578125,-0.043866338534937266,0.7304444555793358,0.6709886547811994,trend_exit
2019-02-25,2019-02-25,2019-03-10,5947.T,2218.531989501953,2213.3408203125,-0.003337571892045532,0.7303971180022109,0.6709886547811994,trend_exit
2019-02-28,2019-02-28,2019-03-10,6367.T,11389.432742187499,11433.220703125,0.002840768365445445,0.6619730449345217,0.6709886547811994,trend_exit
2019-03-11,2019-03-11,2019-03-18,9989.T,2858.3046679687495,2770.843505859375,-0.031568365201375514,0.6700585628951917,0.6709886547811994,trend_exit
2019-02-25,2019-02-25,2019-03-19,9831.T,441.2158910827636,453.81097412109375,0.027517757881326155,0.6958336212958603,0.5518223234624143,trend_exit
