date,nav,cash,n_positions,topix_nav
2023-08-22,102584745.21785942,601969.8638555091,10,20799480.451644447
2023-08-23,102450007.89705864,297868.93221488595,10,20883297.440421272
2023-08-24,100754454.77086234,8607420.298206098,9,20698020.504118923
2023-08-27,101485614.63841607,167205.67845512368,10,21002404.845728714
2023-08-28,102057225.46605279,167205.67845512368,10,21037693.012742724
2023-08-29,102397945.77855279,167205.67845512368,10,21134743.90771853
2023-08-30,102451387.82905327,419187.4140142072,10,21258260.365575694
2023-08-31,102654996.06879936,419187.4140142072,10,21447948.603944372
2023-09-03,103409520.35925347,31411.338257377967,10,21681747.613459714
2023-09-04,103944772.9183233,20356529.265979543,8,21694983.7691753
2023-09-05,105148113.71550347,18289947.345874563,8,21867024.549762063
2023-09-06,105241108.51063287,38395180.666394584,6,21769975.904302865
2023-09-07,104689567.61385553,37913829.16170709,6,21540585.94733724
2023-09-10,105748889.68505913,48136542.102051325,5,21567053.759735204
2023-09-11,105632554.44987848,27054342.46257379,7,21747921.643487833
2023-09-12,105860012.79752252,17044245.548987366,8,21739099.03935518
2023-09-13,106431063.44240779,63412.404810123146,10,21977309.350936852
2023-09-14,107020317.01296443,63412.404810123146,10,22193465.40170349
2023-09-18,107240051.80048883,70442.81611383334,10,22193465.40170349
2023-09-19,106967429.62719782,16715395.410889223,8,21968486.746804196
2023-09-20,106498909.23850152,39825809.73898981,6,21783209.810501844
2023-09-21,106275364.31687066,74344722.82517144,3,21703806.373307955
2023-09-24,106561195.6586065,74354984.14737603,3,21814091.17448274
2023-09-25,105896192.513294,74065377.77940728,3,21686161.165042646
2023-09-26,105926072.85708062,43367288.03042047,6,21721451.581573263
2023-09-27,105659566.5481695,32767907.83234918,7,21633223.290730115
2023-09-28,105146477.55371149,28553671.315918516,8,21417069.48948008
2023-10-01,104733791.00371149,38740230.66435602,7,21342077.35435252
2023-10-02,103715300.14597224,59011797.52146052,5,20980346.085880473
2023-10-03,103360473.54481257,83753183.31043757,2,20455396.64095432
2023-10-04,103724189.75177059,73157055.6941534,3,20865652.232155964
2023-10-05,103709305.61090145,52486047.42608699,5,20865652.232155964
2023-10-09,104241338.33522397,674928.6489446703,10,21293553.031622916
2023-10-10,104565058.99562436,674928.6489446703,10,21262673.917158626
2023-10-11,105242115.71559507,674928.6489446703,10,21571467.311318137
2023-10-12,104360957.76454526,10475943.628803069,9,21275905.573841
2023-10-15,102516514.53125668,60325935.96070004,4,20936233.0652172
2023-10-16,102931760.60059261,60325935.96070004,4,21121507.75200294
2023-10-17,102800876.85383359,92010242.08820859,1,21161211.720116496
2023-10-18,102772442.56213437,61477577.13244687,4,20865652.232155964
2023-10-19,102686050.31359921,61477577.13244687,4,20790657.84751179
2023-10-22,102282091.61574766,72059056.93557188,3,20631850.973124012
2023-10-23,102939284.01076719,72059056.93557188,3,20640673.577256665
2023-10-24,102676574.48402159,61797164.291150495,4,20773012.639246482
2023-10-25,102680491.5189337,61797164.291150495,4,20481864.45335228
2023-10-26,103176045.25428526,61797164.291150495,4,20808305.30529371
2023-10-29,102817372.21351378,61797164.291150495,4,20561267.89054617
2023-10-30,103531164.96864073,61797164.291150495,4,20790657.84751179
2023-10-31,103548955.7767462,61797164.291150495,4,21293553.031622916
2023-11-01,103921382.79090635,61797164.291150495,4,21399424.28121477
2023-11-05,104223098.46473448,61797164.291150495,4,21747921.643487833
2023-11-06,104597779.7496771,72053793.60465758,3,21478827.71840866
2023-11-07,104971948.45091002,82416333.22874205,2,21245028.708893318
2023-11-08,105088451.46604674,82416333.22874205,2,21522940.73907193
2023-11-09,105068243.38499205,82416333.22874205,2,21540585.94733724
2023-11-12,104829127.13743345,82416333.22874205,2,21527352.04113826
2023-11-13,104923500.04750426,93932896.04359801,1,21615578.082464807
2023-11-14,104983578.12816222,83456858.7861212,2,21875847.15389472
2023-11-15,104764279.00423644,73021834.18612121,3,21814091.17448274
2023-11-16,105477097.00350402,73021834.18612121,3,22025833.673666447
2023-11-19,105925114.79144348,62459276.41864075,4,21871438.101345
2023-11-20,106833851.76043762,62459276.41864075,4,21818500.227032464
